airlineID,routeID,TV,n_meals,planeTypeID
502,243,NULL,NULL,4
1608,243,NULL,NULL,4
1623,243,NULL,NULL,6
2354,243,NULL,NULL,4
502,244,NULL,NULL,4
1608,244,NULL,NULL,4
1623,244,NULL,NULL,6
2354,244,NULL,NULL,4
502,246,NULL,NULL,4
1608,246,NULL,NULL,4
1623,246,NULL,NULL,4
502,247,NULL,NULL,4
1608,247,NULL,NULL,4
1623,247,NULL,NULL,6
502,249,NULL,NULL,4
1608,249,NULL,NULL,4
1623,249,NULL,NULL,6
502,250,NULL,NULL,183
1608,250,NULL,NULL,183
502,251,NULL,NULL,4
1608,251,NULL,NULL,4
2354,251,NULL,NULL,4
330,252,NULL,NULL,149
330,253,NULL,NULL,54
330,254,NULL,NULL,149
330,255,NULL,NULL,152
2354,258,NULL,NULL,4
2354,259,NULL,NULL,4
502,260,NULL,NULL,4
1608,260,NULL,NULL,4
1623,260,NULL,NULL,6
330,261,NULL,NULL,149
330,262,NULL,NULL,152
4021,262,NULL,NULL,152
330,266,NULL,NULL,151
1317,266,NULL,NULL,11
330,267,NULL,NULL,149
24,269,NULL,NULL,19
4259,269,NULL,NULL,19
5265,269,NULL,NULL,19
24,272,NULL,NULL,75
5265,272,NULL,NULL,75
5416,272,NULL,NULL,75
24,273,NULL,NULL,19
4259,273,NULL,NULL,19
5265,273,NULL,NULL,19
24,274,NULL,NULL,181
2350,274,NULL,NULL,181
5265,274,NULL,NULL,181
24,275,NULL,NULL,181
330,275,NULL,NULL,167
5209,275,NULL,NULL,167
5265,275,NULL,NULL,181
5416,275,NULL,NULL,122
24,276,NULL,NULL,94
330,276,NULL,NULL,98
1355,276,NULL,NULL,94
2350,276,NULL,NULL,94
2822,276,NULL,NULL,94
3320,276,NULL,NULL,98
3321,276,NULL,NULL,98
24,277,NULL,NULL,75
5265,277,NULL,NULL,75
5416,277,NULL,NULL,75
330,278,NULL,NULL,167
330,280,NULL,NULL,15
330,281,NULL,NULL,54
5209,281,NULL,NULL,54
330,283,NULL,NULL,21
1317,283,NULL,NULL,11
1531,283,NULL,NULL,21
3320,283,NULL,NULL,21
3321,283,NULL,NULL,21
330,284,NULL,NULL,13
1317,284,NULL,NULL,11
1936,284,NULL,NULL,15
137,285,NULL,NULL,82
330,285,NULL,NULL,98
596,285,NULL,NULL,82
1317,285,NULL,NULL,19
2009,285,NULL,NULL,82
3320,285,NULL,NULL,98
3321,285,NULL,NULL,98
330,286,NULL,NULL,13
1317,286,NULL,NULL,11
330,287,NULL,NULL,13
330,288,NULL,NULL,170
5209,288,NULL,NULL,170
330,290,NULL,NULL,13
330,291,NULL,NULL,15
1317,291,NULL,NULL,11
330,292,NULL,NULL,21
3320,292,NULL,NULL,21
3321,292,NULL,NULL,21
330,293,NULL,NULL,21
3320,293,NULL,NULL,21
3321,293,NULL,NULL,21
4559,293,NULL,NULL,21
5209,293,NULL,NULL,21
330,294,NULL,NULL,13
1317,294,NULL,NULL,19
1936,294,NULL,NULL,15
330,295,NULL,NULL,122
5209,295,NULL,NULL,122
330,296,NULL,NULL,166
5209,296,NULL,NULL,166
330,297,NULL,NULL,92
330,298,NULL,NULL,13
5209,298,NULL,NULL,13
330,299,NULL,NULL,13
1317,299,NULL,NULL,75
330,300,NULL,NULL,13
1317,300,NULL,NULL,19
330,301,NULL,NULL,21
3320,301,NULL,NULL,21
3321,301,NULL,NULL,21
330,302,NULL,NULL,92
330,303,NULL,NULL,13
330,304,NULL,NULL,13
1317,304,NULL,NULL,11
330,305,NULL,NULL,13
5209,305,NULL,NULL,13
330,306,NULL,NULL,13
1317,306,NULL,NULL,75
1936,306,NULL,NULL,15
330,307,NULL,NULL,15
1317,307,NULL,NULL,75
330,308,NULL,NULL,149
330,309,NULL,NULL,149
330,310,NULL,NULL,15
5416,310,NULL,NULL,73
330,311,NULL,NULL,152
330,312,NULL,NULL,15
4021,312,NULL,NULL,152
330,313,NULL,NULL,170
330,314,NULL,NULL,152
330,315,NULL,NULL,149
330,316,NULL,NULL,152
4021,316,NULL,NULL,152
330,317,NULL,NULL,149
330,318,NULL,NULL,17
330,320,NULL,NULL,170
330,321,NULL,NULL,152
330,322,NULL,NULL,170
330,323,NULL,NULL,149
330,324,NULL,NULL,17
1317,324,NULL,NULL,11
3320,324,NULL,NULL,21
3321,324,NULL,NULL,21
4559,324,NULL,NULL,21
5209,324,NULL,NULL,21
330,325,NULL,NULL,149
330,326,NULL,NULL,151
330,327,NULL,NULL,19
4559,327,NULL,NULL,21
330,328,NULL,NULL,13
137,329,NULL,NULL,123
321,329,NULL,NULL,123
2009,329,NULL,NULL,123
794,330,NULL,NULL,19
321,331,NULL,NULL,75
4248,332,NULL,NULL,92
1936,333,NULL,NULL,15
1936,334,NULL,NULL,15
2354,335,NULL,NULL,4
2354,336,NULL,NULL,4
2354,337,NULL,NULL,4
330,339,NULL,NULL,149
330,340,NULL,NULL,149
2354,341,NULL,NULL,4
330,342,NULL,NULL,149
330,343,NULL,NULL,149
4608,356,NULL,NULL,19
330,357,NULL,NULL,151
341,357,NULL,NULL,64
330,358,NULL,NULL,170
341,358,NULL,NULL,64
330,360,NULL,NULL,54
330,363,NULL,NULL,54
330,364,NULL,NULL,151
330,365,NULL,NULL,151
5416,365,NULL,NULL,152
3856,366,NULL,NULL,231
3856,367,NULL,NULL,231
3856,368,NULL,NULL,231
330,370,NULL,NULL,151
330,371,NULL,NULL,54
24,372,NULL,NULL,75
5265,372,NULL,NULL,75
5416,372,NULL,NULL,75
24,373,NULL,NULL,64
330,373,NULL,NULL,13
24,374,NULL,NULL,64
330,374,NULL,NULL,13
5209,374,NULL,NULL,122
24,375,NULL,NULL,82
330,375,NULL,NULL,98
1355,375,NULL,NULL,82
2350,375,NULL,NULL,82
2822,375,NULL,NULL,82
3320,375,NULL,NULL,98
3321,375,NULL,NULL,98
24,376,NULL,NULL,101
324,376,NULL,NULL,92
330,376,NULL,NULL,92
2987,376,NULL,NULL,103
2988,376,NULL,NULL,103
24,377,NULL,NULL,64
330,377,NULL,NULL,15
5209,377,NULL,NULL,15
24,378,NULL,NULL,152
330,378,NULL,NULL,151
5209,378,NULL,NULL,151
24,379,NULL,NULL,17
5265,379,NULL,NULL,17
24,380,NULL,NULL,152
330,380,NULL,NULL,151
2009,380,NULL,NULL,152
5209,380,NULL,NULL,151
330,381,NULL,NULL,95
345,381,NULL,NULL,95
330,382,NULL,NULL,15
5209,382,NULL,NULL,15
324,383,NULL,NULL,13
330,383,NULL,NULL,13
5209,383,NULL,NULL,13
330,384,NULL,NULL,82
1868,384,NULL,NULL,90
3320,384,NULL,NULL,82
3321,384,NULL,NULL,82
330,385,NULL,NULL,98
1680,385,NULL,NULL,98
324,386,NULL,NULL,92
330,386,NULL,NULL,92
330,387,NULL,NULL,92
28,388,NULL,NULL,92
330,388,NULL,NULL,92
3163,388,NULL,NULL,95
3830,388,NULL,NULL,92
330,389,NULL,NULL,13
330,390,NULL,NULL,21
3320,390,NULL,NULL,21
3321,390,NULL,NULL,21
330,391,NULL,NULL,92
330,392,NULL,NULL,98
751,392,NULL,NULL,19
330,393,NULL,NULL,92
751,393,NULL,NULL,92
1758,393,NULL,NULL,20
330,394,NULL,NULL,13
1317,394,NULL,NULL,19
330,395,NULL,NULL,170
5209,395,NULL,NULL,15
330,396,NULL,NULL,96
330,397,NULL,NULL,151
330,398,NULL,NULL,151
330,399,NULL,NULL,170
330,401,NULL,NULL,15
330,402,NULL,NULL,151
2692,402,NULL,NULL,149
330,404,NULL,NULL,21
330,405,NULL,NULL,170
5416,405,NULL,NULL,73
330,407,NULL,NULL,152
5416,407,NULL,NULL,152
330,408,NULL,NULL,152
330,409,NULL,NULL,151
2692,409,NULL,NULL,149
5416,409,NULL,NULL,152
330,410,NULL,NULL,170
1317,410,NULL,NULL,19
330,411,NULL,NULL,151
2692,411,NULL,NULL,149
330,412,NULL,NULL,151
330,413,NULL,NULL,15
3952,413,NULL,NULL,97
330,414,NULL,NULL,151
1756,415,NULL,NULL,27
2091,415,NULL,NULL,82
1680,416,NULL,NULL,98
502,417,NULL,NULL,183
1608,417,NULL,NULL,183
1623,417,NULL,NULL,183
502,418,NULL,NULL,4
1608,418,NULL,NULL,4
1623,418,NULL,NULL,183
5416,423,NULL,NULL,152
330,426,NULL,NULL,170
5416,427,NULL,NULL,152
330,429,NULL,NULL,170
33,431,NULL,NULL,54
330,431,NULL,NULL,149
11838,431,NULL,NULL,54
330,432,NULL,NULL,54
330,433,NULL,NULL,54
330,434,NULL,NULL,54
330,436,NULL,NULL,151
330,437,NULL,NULL,54
330,439,NULL,NULL,151
5416,439,NULL,NULL,152
5416,441,NULL,NULL,152
330,442,NULL,NULL,152
330,443,NULL,NULL,170
330,444,NULL,NULL,54
330,448,NULL,NULL,152
5416,448,NULL,NULL,152
2354,449,NULL,NULL,4
2354,450,NULL,NULL,4
5416,455,NULL,NULL,73
330,458,NULL,NULL,152
5416,458,NULL,NULL,152
330,460,NULL,NULL,151
2692,460,NULL,NULL,149
5416,460,NULL,NULL,152
2692,461,NULL,NULL,149
330,463,NULL,NULL,149
330,464,NULL,NULL,149
341,465,NULL,NULL,64
330,466,NULL,NULL,170
341,466,NULL,NULL,64
341,467,NULL,NULL,64
341,468,NULL,NULL,64
330,469,NULL,NULL,149
330,470,NULL,NULL,151
341,470,NULL,NULL,64
1317,470,NULL,NULL,19
3090,470,NULL,NULL,64
5416,470,NULL,NULL,152
5416,472,NULL,NULL,73
24,473,NULL,NULL,215
5265,473,NULL,NULL,215
24,474,NULL,NULL,64
2009,474,NULL,NULL,73
5416,474,NULL,NULL,73
24,475,NULL,NULL,64
330,475,NULL,NULL,13
24,476,NULL,NULL,64
330,476,NULL,NULL,13
24,477,NULL,NULL,90
330,477,NULL,NULL,21
1355,477,NULL,NULL,90
2350,477,NULL,NULL,90
2822,477,NULL,NULL,90
3320,477,NULL,NULL,21
3321,477,NULL,NULL,21
24,478,NULL,NULL,64
330,478,NULL,NULL,64
5209,478,NULL,NULL,74
24,479,NULL,NULL,13
5265,479,NULL,NULL,13
24,480,NULL,NULL,64
330,481,NULL,NULL,13
5209,482,NULL,NULL,75
330,483,NULL,NULL,170
330,484,NULL,NULL,98
1317,484,NULL,NULL,19
3320,484,NULL,NULL,98
3321,484,NULL,NULL,98
330,485,NULL,NULL,75
5209,485,NULL,NULL,75
324,486,NULL,NULL,92
330,486,NULL,NULL,92
330,488,NULL,NULL,13
330,489,NULL,NULL,122
5209,489,NULL,NULL,122
330,490,NULL,NULL,13
330,491,NULL,NULL,13
330,492,NULL,NULL,151
330,493,NULL,NULL,151
5416,493,NULL,NULL,152
330,494,NULL,NULL,151
5416,494,NULL,NULL,73
330,495,NULL,NULL,152
330,496,NULL,NULL,170
330,497,NULL,NULL,54
330,498,NULL,NULL,54
330,499,NULL,NULL,152
5416,499,NULL,NULL,152
330,500,NULL,NULL,151
5416,500,NULL,NULL,152
330,501,NULL,NULL,170
330,502,NULL,NULL,170
1317,502,NULL,NULL,19
330,504,NULL,NULL,54
330,505,NULL,NULL,152
330,506,NULL,NULL,54
330,507,NULL,NULL,152
330,508,NULL,NULL,17
3090,508,NULL,NULL,64
330,512,NULL,NULL,151
2692,512,NULL,NULL,149
2692,513,NULL,NULL,149
330,517,NULL,NULL,151
330,518,NULL,NULL,54
330,519,NULL,NULL,152
2354,522,NULL,NULL,7
2354,523,NULL,NULL,7
330,524,NULL,NULL,151
5416,524,NULL,NULL,152
330,526,NULL,NULL,152
330,527,NULL,NULL,15
502,529,NULL,NULL,4
1608,529,NULL,NULL,4
1623,529,NULL,NULL,6
502,530,NULL,NULL,183
1608,530,NULL,NULL,183
1623,530,NULL,NULL,6
502,531,NULL,NULL,4
1608,531,NULL,NULL,4
1623,531,NULL,NULL,4
502,532,NULL,NULL,4
1608,532,NULL,NULL,4
1623,532,NULL,NULL,6
330,533,NULL,NULL,54
330,535,NULL,NULL,54
330,536,NULL,NULL,54
330,538,NULL,NULL,13
3320,538,NULL,NULL,13
3321,538,NULL,NULL,13
330,539,NULL,NULL,54
330,540,NULL,NULL,170
3090,540,NULL,NULL,64
4021,540,NULL,NULL,152
330,542,NULL,NULL,54
330,543,NULL,NULL,170
330,545,NULL,NULL,15
33,546,NULL,NULL,54
330,546,NULL,NULL,149
11838,546,NULL,NULL,54
330,547,NULL,NULL,149
2222,548,NULL,NULL,19
3000,548,NULL,NULL,20
24,549,NULL,NULL,167
5265,549,NULL,NULL,167
330,550,NULL,NULL,167
24,551,NULL,NULL,13
330,551,NULL,NULL,167
5209,551,NULL,NULL,167
5265,551,NULL,NULL,13
5416,551,NULL,NULL,13
24,552,NULL,NULL,122
2009,552,NULL,NULL,122
2350,552,NULL,NULL,122
5265,552,NULL,NULL,122
5416,552,NULL,NULL,122
24,553,NULL,NULL,64
330,553,NULL,NULL,92
24,554,NULL,NULL,75
330,554,NULL,NULL,17
5209,554,NULL,NULL,17
5265,554,NULL,NULL,75
5416,554,NULL,NULL,75
24,555,NULL,NULL,122
330,555,NULL,NULL,170
2009,555,NULL,NULL,73
5209,555,NULL,NULL,170
5265,555,NULL,NULL,122
5416,555,NULL,NULL,73
24,556,NULL,NULL,101
330,556,NULL,NULL,92
1355,556,NULL,NULL,103
2350,556,NULL,NULL,103
2822,556,NULL,NULL,103
3320,556,NULL,NULL,92
3321,556,NULL,NULL,92
24,557,NULL,NULL,64
330,557,NULL,NULL,13
1317,557,NULL,NULL,75
24,558,NULL,NULL,75
330,558,NULL,NULL,170
5265,558,NULL,NULL,75
5416,558,NULL,NULL,75
24,559,NULL,NULL,167
330,559,NULL,NULL,167
5209,559,NULL,NULL,15
5265,559,NULL,NULL,182
5416,559,NULL,NULL,167
24,560,NULL,NULL,167
330,560,NULL,NULL,167
5209,560,NULL,NULL,167
5265,560,NULL,NULL,167
330,561,NULL,NULL,15
137,562,NULL,NULL,122
5416,562,NULL,NULL,123
330,563,NULL,NULL,13
330,564,NULL,NULL,98
2222,564,NULL,NULL,98
330,565,NULL,NULL,13
330,566,NULL,NULL,92
1317,566,NULL,NULL,11
330,567,NULL,NULL,13
330,568,NULL,NULL,54
5209,568,NULL,NULL,54
330,569,NULL,NULL,13
330,571,NULL,NULL,92
330,572,NULL,NULL,170
5209,572,NULL,NULL,170
330,573,NULL,NULL,149
330,574,NULL,NULL,13
137,575,NULL,NULL,95
330,575,NULL,NULL,98
596,575,NULL,NULL,95
1317,575,NULL,NULL,19
2009,575,NULL,NULL,95
3320,575,NULL,NULL,98
3321,575,NULL,NULL,98
330,576,NULL,NULL,149
5209,576,NULL,NULL,150
330,577,NULL,NULL,149
5209,577,NULL,NULL,149
330,578,NULL,NULL,92
3320,578,NULL,NULL,92
3321,578,NULL,NULL,92
4319,578,NULL,NULL,92
330,579,NULL,NULL,13
1317,579,NULL,NULL,19
330,581,NULL,NULL,170
5209,581,NULL,NULL,170
330,582,NULL,NULL,54
2009,582,NULL,NULL,122
5209,582,NULL,NULL,54
5416,582,NULL,NULL,122
330,583,NULL,NULL,92
837,583,NULL,NULL,87
1317,583,NULL,NULL,11
330,584,NULL,NULL,167
5209,584,NULL,NULL,167
330,585,NULL,NULL,21
596,585,NULL,NULL,20
1317,585,NULL,NULL,19
2009,585,NULL,NULL,20
3320,585,NULL,NULL,21
3321,585,NULL,NULL,21
330,586,NULL,NULL,15
1317,586,NULL,NULL,75
330,587,NULL,NULL,98
3320,587,NULL,NULL,82
3321,587,NULL,NULL,82
330,588,NULL,NULL,170
330,589,NULL,NULL,170
330,590,NULL,NULL,13
1663,590,NULL,NULL,75
330,591,NULL,NULL,92
4867,591,NULL,NULL,92
330,592,NULL,NULL,170
330,593,NULL,NULL,96
1680,593,NULL,NULL,98
330,594,NULL,NULL,13
1317,594,NULL,NULL,75
5209,596,NULL,NULL,122
330,598,NULL,NULL,98
4951,598,NULL,NULL,98
330,599,NULL,NULL,13
1663,599,NULL,NULL,75
3826,599,NULL,NULL,88
330,600,NULL,NULL,92
330,601,NULL,NULL,13
330,602,NULL,NULL,13
1317,602,NULL,NULL,75
